Hospitals,Address,State,Type,Status,COUNTY,Beds,County
SAN JOAQUIN GENERAL HOSPITAL,500 WEST HOSPITAL ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN JOAQUIN,196,San Joaquin
"AURORA LAS ENCINAS HOSPITAL, LLC",2900 EAST DEL MAR BOULEVARD,CA,PSYCHIATRIC,OPEN,LOS ANGELES,118,Los Angeles
BHC ALHAMBRA HOSPITAL,4619 ROSEMEAD BOULEVARD,CA,PSYCHIATRIC,OPEN,LOS ANGELES,97,Los Angeles
LA CASA PSYCHIATRIC HEALTH FACILITY,6060 PARAMOUNT BLVD.,CA,PSYCHIATRIC,OPEN,LOS ANGELES,16,Los Angeles
MEMORIAL HOSPITAL OF GARDENA,1145 W. REDONDO BEACH BLVD.,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,172,Los Angeles
RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,150 MEDICAL PLAZA,CA,PSYCHIATRIC,OPEN,LOS ANGELES,74,Los Angeles
SILVER LAKE MEDICAL CENTER-DOWNTOWN CAMPUS,1711 WEST TEMPLE STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,116,Los Angeles
SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,7500 EAST HELLMAN AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,118,Los Angeles
WHITTIER HOSPITAL MEDICAL CENTER,9080 COLIMA ROAD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,178,Los Angeles
SOUTHERN INYO HOSPITAL,501 EAST LOCUST STREET,CA,GENERAL ACUTE CARE,OPEN,INYO,37,Inyo
NORTHERN COLORADO LONG TERM ACUTE HOSPITAL,4401A UNION STREET,CO,LONG TERM CARE,OPEN,LARIMER,20,Larimer
MENDOCINO COAST DISTRICT HOSPITAL,700 RIVER DRIVE,CA,GENERAL ACUTE CARE,OPEN,MENDOCINO,49,Mendocino
TELECARE EL DORADO COUNTY PHF,935-B SPRING STREET,CA,PSYCHIATRIC,OPEN,EL DORADO,16,El Dorado
BAKERSFIELD HEART HOSPITAL,3001 SILLECT AVENUE,CA,GENERAL ACUTE CARE,OPEN,KERN,47,Kern
CRESTWOOD PSYCHIATRIC HEALTH FACILITY-CARMICHAEL,4741 ENGLE ROAD,CA,PSYCHIATRIC,OPEN,SACRAMENTO,16,Sacramento
SIERRA VISTA HOSPITAL,8001 BRUCEVILLE ROAD,CA,PSYCHIATRIC,OPEN,SACRAMENTO,120,Sacramento
LINCOLN COMMUNITY HOSPITAL,111 6TH ST,CO,CRITICAL ACCESS,OPEN,LINCOLN,50,Lincoln
"MEDICAL CENTER OF AURORA, THE",1501 S POTOMAC ST,CO,GENERAL ACUTE CARE,OPEN,ARAPAHOE,303,Arapahoe
PRESBYTERIAN ST LUKE'S MEDICAL CENTER,1719 E 19TH AVE,CO,GENERAL ACUTE CARE,OPEN,DENVER,389,Denver
GULFPORT BEHAVIORAL HEALTH SYSTEM,11150 US HIGHWAY 49 NORTH,MS,PSYCHIATRIC,OPEN,HARRISON,109,Harrison
SOUTHWEST HOSPITAL AND MEDICAL CENTER,501 FAIRBURN ROAD SW,GA,GENERAL ACUTE CARE,CLOSED,FULTON,125,Fulton
THE GEORGIA CENTER FOR YOUTH,GOOSE HOLLOW ROAD,GA,PSYCHIATRIC,OPEN,TAYLOR,-999,Taylor
TIFT REGIONAL MEDICAL CENTER,901 EAST 18TH STREET,GA,GENERAL ACUTE CARE,OPEN,TIFT,241,Tift
CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,GA,GENERAL ACUTE CARE,OPEN,BARTOW,119,Bartow
SO CRESCENT BEH HLTH SYS - CRESCENT PINES CAMPUS,1000 EAGLES LANDING PARKWAY,GA,PSYCHIATRIC,OPEN,HENRY,50,Henry
PEACHFORD HOSPITAL,2151 PEACHFORD ROAD,GA,PSYCHIATRIC,OPEN,DEKALB,246,Dekalb
LAUREL HEIGHTS HOSPITAL,934 BRIARCLIFF ROAD,GA,PSYCHIATRIC,OPEN,DEKALB,28,Dekalb
GEORGIA REGIONAL HOSPITAL AT ATLANTA,3073 PANTHERSVILLE ROAD,GA,PSYCHIATRIC,OPEN,DEKALB,334,Dekalb
MARTIN GENERAL HOSPITAL,310 SOUTH MCCASKEY ROAD,NC,GENERAL ACUTE CARE,OPEN,MARTIN,49,Martin
ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,2725 ENTERPRISE DRIVE,IN,PSYCHIATRIC,OPEN,MADISON,22,Madison
WRAY COMMUNITY DISTRICT HOSPITAL,1017 W 7TH ST,CO,CRITICAL ACCESS,OPEN,YUMA,16,Yuma
RIDGEVIEW INSTITUTE MONROE,709 BREEDLOVE DR,GA,PSYCHIATRIC,OPEN,WALTON,88,Walton
ASHEVILLE SPECIALTY HOSPITAL,428 BILTMORE AVE,NC,LONG TERM CARE,OPEN,BUNCOMBE,34,Buncombe
VERMILION BEHAVIORAL HEALTH SYSTEM,2520 N UNIVERSITY AVE,LA,GENERAL ACUTE CARE,OPEN,LAFAYETTE,54,Lafayette
THIBODAUX REGIONAL MEDICAL CENTER,602 N ACADIA RD,LA,GENERAL ACUTE CARE,OPEN,LAFOURCHE,140,Lafourche
CRESCENT CITY SURGICAL CENTRE,3017 GALLERIA DRIVE,LA,GENERAL ACUTE CARE,OPEN,JEFFERSON,-999,Jefferson
EAST JEFFERSON GENERAL HOSPITAL,4200 HOUMA BLVD,LA,GENERAL ACUTE CARE,OPEN,JEFFERSON,420,Jefferson
CURAHEALTH NEW ORLEANS,3601 COLISEUM ST,LA,GENERAL ACUTE CARE,OPEN,ORLEANS,80,Orleans
UNITED MEDICAL REHABILITATION HOSPITAL,333 EAST WORTHEY RD,LA,REHABILITATION,OPEN,ASCENSION,12,Ascension
IBERIA REHABILITATION HOSPITAL,532 JEFFERSON TERRACE STREET,LA,REHABILITATION,OPEN,IBERIA,24,Iberia
TERREBONNE GENERAL MEDICAL CENTER,8166 MAIN ST,LA,GENERAL ACUTE CARE,OPEN,TERREBONNE,230,Terrebonne
HEART HOSPITAL OF LAFAYETTE,1105 KALISTE SALOOM ROAD,LA,SPECIAL,OPEN,RAPIDES,32,Rapides
HUEY P. LONG MEDICAL CENTER,352 HOSPITAL BOULEVARD,LA,GENERAL ACUTE CARE,CLOSED,RAPIDES,60,Rapides
MOREHOUSE GENERAL HOSPITAL,323 W WALNUT AVE,LA,GENERAL ACUTE CARE,OPEN,MOREHOUSE,22,Morehouse
NATCHITOCHES REGIONAL MEDICAL CENTER,501 KEYSER AVE,LA,GENERAL ACUTE CARE,OPEN,NATCHITOCHES,208,Natchitoches
RESURRECTION MEDICAL CENTER,7435 W TALCOTT AVENUE,IL,GENERAL ACUTE CARE,OPEN,COOK,402,Cook
JACKSON PARISH HOSPITAL,165 BEECH SPRINGS RD,LA,GENERAL ACUTE CARE,OPEN,JACKSON,25,Jackson
SPECIALTY HOSPITAL OF WINNFIELD,915 FIRST ST,LA,LONG TERM CARE,OPEN,WINN,20,Winn
WINN PARISH MEDICAL CENTER,301 W BOUNDARY AVE,LA,GENERAL ACUTE CARE,OPEN,WINN,60,Winn
LASALLE GENERAL HOSPITAL,187 NINTH ST,LA,GENERAL ACUTE CARE,OPEN,LA SALLE,49,La Salle
LSU BOGALUSA MEDICAL CENTER (OUTPATIENT CAMPUS),400 MEMPHIS ST,LA,GENERAL ACUTE CARE,CLOSED,WASHINGTON,-999,Washington
RIVERSIDE MEDICAL CENTER,1900 S MAIN ST,LA,GENERAL ACUTE CARE,OPEN,WASHINGTON,25,Washington
POINTE COUPEE GENERAL HOSPITAL,2202 FALSE RIVER DR,LA,GENERAL ACUTE CARE,OPEN,POINTE COUPEE,25,Pointe Coupee
MINDEN MEDICAL CENTER,1 MEDICAL PLAZA PL,LA,GENERAL ACUTE CARE,OPEN,WEBSTER,161,Webster
SOUTHERN SURGICAL HOSPITAL,1700 LINDBERG DR,LA,GENERAL ACUTE CARE,OPEN,ST. TAMMANY,37,St. Tammany
CYPRESS POINTE SURGICAL HOSPITAL,42570 S AIRPORT RD,LA,GENERAL ACUTE CARE,OPEN,TANGIPAHOA,32,Tangipahoa
LALLIE KEMP REGIONAL MEDICAL CENTER,52579 HIGHWAY 51 S,LA,GENERAL ACUTE CARE,OPEN,TANGIPAHOA,25,Tangipahoa
BEAUREGARD MEMORIAL HOSPITAL,600 S PINE ST,LA,GENERAL ACUTE CARE,OPEN,BEAUREGARD,60,Beauregard
OCEANS BEHAVIORAL HOSPITAL OF DERIDDER,1420 BLANKENSHIP DR,LA,PSYCHIATRIC,OPEN,BEAUREGARD,20,Beauregard
BATON ROUGE REHABILITATION HOSPITAL,8595 UNITED PLAZA BLVD,LA,REHABILITATION,OPEN,EAST BATON ROUGE,34,East Baton Rouge
LANE REGIONAL MEDICAL CENTER,6300 MAIN ST,LA,GENERAL ACUTE CARE,OPEN,EAST BATON ROUGE,175,East Baton Rouge
PROMISE HOSPITAL BATON ROUGE,5130 MANCUSO LN,LA,LONG TERM CARE,OPEN,EAST BATON ROUGE,50,East Baton Rouge
SURGICAL SPECIALTY CENTER OF BATON ROUGE,8080 BLUEBONNET BLVD,LA,GENERAL ACUTE CARE,OPEN,EAST BATON ROUGE,14,East Baton Rouge
OCEANS BEHAVIORAL HOSPITAL OF OPELOUSAS,1310 HEATHER DR,LA,PSYCHIATRIC,OPEN,ST. LANDRY,20,St. Landry
ST LANDRY EXTENDED CARE HOSPITAL,539 E PRUDHOMME ST,LA,GENERAL ACUTE CARE,OPEN,ST. LANDRY,231,St. Landry
OPELOUSAS GENERAL HEALTH SYSTEM SOUTH CAMPUS,539 E PRUDHOMME LN,LA,LONG TERM CARE,OPEN,ST. LANDRY,245,St. Landry
NORTH CADDO MEDICAL CENTER,815 S PINE ST,LA,GENERAL ACUTE CARE,OPEN,CADDO,25,Caddo
POMERADO HOSPITAL,15615 POMERADO ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,236,San Diego
"UCSD-LA JOLLA, JOHN M & SALLY B. THORNTON HOSPITAL",9300 CAMPUS POINT DRIVE,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,173,San Diego
CORCORAN DISTRICT HOSPITAL,1310 HANNA AVENUE,CA,GENERAL ACUTE CARE,CLOSED,KINGS,32,Kings
TWIN CITIES COMMUNITY HOSPITAL,1100 LAS TABLAS ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN LUIS OBISPO,122,San Luis Obispo
REHABILITATION HOSPITAL OF WISCONSIN,1625 COLD WATER CREEK DRIVE,WI,REHABILITATION,OPEN,WAUKESHA,40,Waukesha
AURORA BEHAVIORAL HEALTHCARE-SANTA ROSA,1287 FULTON ROAD,CA,PSYCHIATRIC,OPEN,SONOMA,95,Sonoma
SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE,CA,GENERAL ACUTE CARE,OPEN,SONOMA,1021,Sonoma
FAIRMONT HOSPITAL,15400 FOOTHILL BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,159,Alameda
KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,99,Alameda
BARLOW RESPIRATORY HOSPITAL,2000 STADIUM WAY,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,105,Los Angeles
LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,9542 EAST ARTESIA BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,144,Los Angeles
GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,210,Los Angeles
KINDRED HOSPITAL SOUTH BAY,1246 WEST 155TH STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,84,Los Angeles
LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,7601 EAST IMPERIAL HIGHWAY,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,289,Los Angeles
LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,130,Los Angeles
LOS ANGELES METROPOLITAN MEDICAL CENTER,2231 SOUTH WESTERN AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,149,Los Angeles
HAZEL HAWKINS MEMORIAL HOSPITAL D/P SNF,900 SUNSET DRIVE,CA,GENERAL ACUTE CARE,OPEN,SAN BENITO,62,San Benito
HEMET VALLEY HEALTH CARE CENTER,371 WESTON PLACE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,90,Riverside
JOHN F KENNEDY MEMORIAL HOSPITAL,47-111 MONROE STREET,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,156,Riverside
KINDRED HOSPITAL RIVERSIDE,2224 MEDICAL CENTER DRIVE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,40,Riverside
TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,47-915 OASIS STREET,CA,PSYCHIATRIC,OPEN,RIVERSIDE,16,Riverside
PALO VERDE HOSPITAL,250 NORTH FIRST STREET,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,51,Riverside
MISSION OAKS HOSPITAL,15891 LOS GATOS-ALMADEN ROAD,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,70,Santa Clara
JOHN C FREMONT HEALTHCARE DISTRICT,"5189 HOSPITAL RD., PO BOX 216",CA,GENERAL ACUTE CARE,OPEN,MARIPOSA,34,Mariposa
ADVENTIST MEDICAL CENTER - REEDLEY,372 WEST CYPRESS AVENUE,CA,GENERAL ACUTE CARE,OPEN,FRESNO,44,Fresno
DOCTORS MEDICAL CENTER - SAN PABLO,2000 VALE ROAD,CA,GENERAL ACUTE CARE,CLOSED,CONTRA COSTA,189,Contra Costa
SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,7777 NORRIS CANYON ROAD,CA,GENERAL ACUTE CARE,OPEN,CONTRA COSTA,64,Contra Costa
HERITAGE OAKS HOSPITAL,4250 AUBURN BLVD.,CA,PSYCHIATRIC,OPEN,SACRAMENTO,125,Sacramento
VIBRA HOSPITAL OF SACRAMENTO,330 MONTROSE DRIVE,CA,GENERAL ACUTE CARE,OPEN,SACRAMENTO,58,Sacramento
KINDRED HOSPITAL - SANTA ANA,1901 NORTH COLLEGE AVENUE,CA,GENERAL ACUTE CARE,OPEN,ORANGE,54,Orange
LOS ALAMITOS MEDICAL CENTER,3751 KATELLA AVENUE,CA,GENERAL ACUTE CARE,OPEN,ORANGE,167,Orange
FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVENUE,CA,GENERAL ACUTE CARE,OPEN,ORANGE,177,Orange
OAKDALE NURSING AND REHABILITATION CENTER,275 SOUTH OAK STREET,CA,REHABILITATION,OPEN,STANISLAUS,115,Stanislaus
SUTTER SURGICAL HOSPITAL-NORTH VALLEY,455 PLUMAS BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,SUTTER,14,Sutter
SUTTER-YUBA PSYCHIATRIC HEALTH FACILITY,1965 LIVE OAK BOULEVARD,CA,PSYCHIATRIC,OPEN,SUTTER,16,Sutter
KAWEAH DELTA SKILLED NURSING FACILITY,1633 SOUTH COURT STREET,CA,GENERAL ACUTE CARE,OPEN,TULARE,54,Tulare
ST. THERESA SPECIALTY HOSPITAL - KENNER,3601 LOYOLA DR,LA,LONG TERM CARE,CLOSED,JEFFERSON,-999,Jefferson
WILKES REGIONAL MEDICAL CENTER,1370 WEST 'D' STREET,NC,GENERAL ACUTE CARE,OPEN,WILKES,130,Wilkes
ENLOE MEDICAL CENTER - COHASSET CAMPUS,560 COHASSET ROAD,CA,GENERAL ACUTE CARE,OPEN,BUTTE,30,Butte
COMMUNITY SPECIALTY HOSPITAL,408 SE EVANGELINE TRWY,LA,LONG TERM CARE,OPEN,LAFAYETTE,22,Lafayette
WEST JEFFERSON MEDICAL CENTER,1101 MEDICAL CENTER BLVD,LA,GENERAL ACUTE CARE,OPEN,JEFFERSON,319,Jefferson
LIFECARE SPECIALTY HOSPITAL OF NORTH LOUISIANA,1401 EZELL ST,LA,LONG TERM CARE,OPEN,LINCOLN,55,Lincoln
RICHARDSON MEDICAL CENTER,254 HIGHWAY 3048,LA,GENERAL ACUTE CARE,OPEN,RICHLAND,31,Richland
UNITED MEDICAL REHABILITATION HOSPITAL,15717 BELLE DR,LA,REHABILITATION,OPEN,TANGIPAHOA,20,Tangipahoa
PARK BRIDGE REHABILITATION AND WELLNESS CENTER,2401 BLANDING AVENUE,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,120,Alameda
COLLEGE MEDICAL CENTER SOUTH CAMPUS D/P APH,1725 PACIFIC AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,36,Los Angeles
CRESTWOOD SOLANO PSYCHIATRIC HEALTH FACILITY,2201 TUOLUMNE ST,CA,PSYCHIATRIC,OPEN,SOLANO,16,Solano
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",345 SOUTH HALCYON ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN LUIS OBISPO,67,San Luis Obispo
PALOMAR MEDICAL CENTER,2185 W. CITRACADO PARKWAY,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,288,San Diego
PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,443 SOUTH SOTO STREET,CA,LONG TERM CARE,OPEN,LOS ANGELES,36,Los Angeles
VIBRA HOSPITAL OF NORTHERN CALIFORNIA,2801 EUREKA WAY,CA,GENERAL ACUTE CARE,OPEN,SHASTA,88,Shasta
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,227 MOUNTAIN DR,GA,GENERAL ACUTE CARE,OPEN,LUMPKIN,52,Lumpkin
MEMORIAL SATILLA HEALTH,1900 TEBEAU STREET,GA,GENERAL ACUTE CARE,OPEN,WARE,231,Ware
SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,361 RANDOLPH STREET,GA,CRITICAL ACCESS,OPEN,RANDOLPH,25,Randolph
HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,GA,GENERAL ACUTE CARE,OPEN,HABERSHAM,53,Habersham
LIFECARE HOSPITALS OF WISCONSIN,2400 GOLF ROAD,WI,LONG TERM CARE,OPEN,WAUKESHA,62,Waukesha
CORNERSTONE HOSPITAL OF SOUTHWEST LOUISIANA,703 CYPRESS STREET,LA,GENERAL ACUTE CARE,OPEN,CALCASIEU,30,Calcasieu
WESTEND HOSPITAL,1530 HIGHWAY 90 WEST,LA,PSYCHIATRIC,OPEN,JEFFERSON DAVIS,20,Jefferson Davis
EISENHOWER ARMY MEDICAL CENTER,300 E HOSPITAL RD,GA,MILITARY,OPEN,RICHMOND,125,Richmond
PATHWAY REHABILITATION HOSPIAL OF BOSSIER,4900 MEDICAL DRIVE,LA,REHABILITATION,OPEN,BOSSIER,24,Bossier
PEAK VIEW BEHAVIORAL HEALTH,7353 SISTERS GROVE,CO,PSYCHIATRIC,OPEN,EL PASO,112,El Paso
WILLIAM S. MIDDLETON MEMORIAL VETERANS HOSPITAL,2500 OVERLOOK TERRACE,WI,GENERAL ACUTE CARE,OPEN,DANE,-999,Dane
CLEMENT J. ZABLOCKI VA MEDICAL CENTER,5000 W NATIONAL AVE,WI,MILITARY,OPEN,MILWAUKEE,-999,Milwaukee
MAYO CLINIC HEALTH SYSTEM - RED CEDAR INC,2321 STOUT RD,WI,GENERAL ACUTE CARE,OPEN,DUNN,25,Dunn
MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,WI,GENERAL ACUTE CARE,OPEN,EAU CLAIRE,304,Eau Claire
LOMA LINDA UNIVERSITY HEART AND SURGICAL HOSPITAL,26780 BARTON ROAD,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,28,San Bernardino
ST. MARY REGIONAL MEDICAL CENTER,18300 HIGHWAY 18,CA,GENERAL ACUTE CARE,OPEN,SAN BERNARDINO,212,San Bernardino
SHARP MESA VISTA HOSPITAL,7850 VISTA HILL AVENUE,CA,PSYCHIATRIC,OPEN,SAN DIEGO,158,San Diego
TRI-CITY MEDICAL CENTER,4002 VISTA WAY,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,397,San Diego
VILLA CORONADO CONVALESCENT (DP/SNF),233 PROSPECT PLACE,CA,GENERAL ACUTE CARE,OPEN,SAN DIEGO,122,San Diego
CALIFORNIA PACIFIC MED CTR-CALIFORNIA EAST,3698 CALIFORNIA STREET,CA,GENERAL ACUTE CARE,CLOSED,SAN FRANCISCO,95,San Francisco
ST. FRANCIS MEMORIAL HOSPITAL,900 HYDE STREET,CA,GENERAL ACUTE CARE,OPEN,SAN FRANCISCO,288,San Francisco
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,100 HEALTH PARK DRIVE,CO,GENERAL ACUTE CARE,OPEN,BOULDER,114,Boulder
LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,CO,GENERAL ACUTE CARE,OPEN,BOULDER,146,Boulder
ST. JOHN'S REGIONAL MEDICAL CENTER,1600 NORTH ROSE AVENUE,CA,GENERAL ACUTE CARE,OPEN,VENTURA,265,Ventura
SONOMA WEST MEDICAL CENTER,501 PETALUMA AVENUE,CA,GENERAL ACUTE CARE,OPEN,SONOMA,47,Sonoma
ADVENTIST HEALTH VALLEJO,525 OREGON STREET,CA,PSYCHIATRIC,OPEN,SOLANO,61,Solano
SUTTER DAVIS HOSPITAL,2000 SUTTER PLACE,CA,GENERAL ACUTE CARE,OPEN,YOLO,48,Yolo
OCEAN BEHAVIORAL HOSPITAL OF BILOXI,180 DE BUYS ROAD,MS,PSYCHIATRIC,OPEN,HARRISON,45,Harrison
ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,403,Alameda
KAISER FND HOSP - FREMONT,39400 PASEO PADRE PARKWAY,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,106,Alameda
VALLEY MEMORIAL HOSPITAL - LIVERMORE,1111 E. STANLEY BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,ALAMEDA,75,Alameda
ADVENTIST HEALTH LODI MEMORIAL HOSPITAL,975 SOUTH FAIRMONT AVENUE,CA,GENERAL ACUTE CARE,OPEN,SAN JOAQUIN,190,San Joaquin
BEVERLY HOSPITAL,309 WEST BEVERLY BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,224,Los Angeles
MERCY REGIONAL MEDICAL CENTER,1010 THREE SPRINGS BLVD,CO,GENERAL ACUTE CARE,OPEN,LA PLATA,82,La Plata
COMMUNITY HOSPITAL OF LONG BEACH,1720 TERMINO AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,208,Los Angeles
MEMORIALCARE MILLER CHILDRENS AND WOMENS HOSPITAL,2801 ATLANTIC AVENUE,CA,CHILDREN,OPEN,LOS ANGELES,371,Los Angeles
GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,1891 EFFIE STREET,CA,PSYCHIATRIC,OPEN,LOS ANGELES,55,Los Angeles
KAISER PERMANENTE WEST LOS ANGELES MEDICAL CENTER,6041 CADILLAC AVENUE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,288,Los Angeles
KAISER PERMANENTE DOWNEY MEDICAL CENTER,9333 IMPERIAL HIGHWAY,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,352,Los Angeles
KECK HOSPITAL OF USC,1500 SAN PABLO STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,401,Los Angeles
KEDREN COMMUNITY MENTAL HEALTH CENTER,4211 SOUTH AVALON BOULEVARD,CA,PSYCHIATRIC,OPEN,LOS ANGELES,72,Los Angeles
METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,300 WEST HUNTINGTON DRIVE,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,400,Los Angeles
MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,14850 ROSCOE BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,145,Los Angeles
PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,1300 WEST SEVENTH STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,231,Los Angeles
PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,4101 TORRANCE BOULEVARD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,327,Los Angeles
PROVIDENCE SAINT JOSEPH MEDICAL CENTER,501 SO. BUENA VISTA,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,446,Los Angeles
PROVIDENCE ST. JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,266,Los Angeles
ST. VINCENT MEDICAL CENTER,2131 WEST 3RD STREET,CA,GENERAL ACUTE CARE,OPEN,LOS ANGELES,366,Los Angeles
KAISER FND HOSPITAL - MORENO VALLEY,27300 IRIS AVENUE,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,101,Riverside
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,CA,GENERAL ACUTE CARE,OPEN,RIVERSIDE,106,Riverside
EL CAMINO HOSPITAL LOS GATOS,815 POLLARD ROAD,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,143,Santa Clara
KAISER FND HOSP - SAN JOSE,250 HOSPITAL PARKWAY,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,247,Santa Clara
O'CONNOR HOSPITAL,2105 FOREST AVENUE,CA,GENERAL ACUTE CARE,OPEN,SANTA CLARA,358,Santa Clara
DOMINICAN HOSPITAL-SANTA CRUZ/SOQUEL,1555 SOQUEL DRIVE,CA,GENERAL ACUTE CARE,OPEN,SANTA CRUZ,223,Santa Cruz
KAISER FND HOSP - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,CA,GENERAL ACUTE CARE,OPEN,SAN MATEO,120,San Mateo
MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR,700 WEST AVENUE SOUTH,WI,GENERAL ACUTE CARE,OPEN,LA CROSSE,331,La Crosse
SUTTER AUBURN FAITH HOSPITAL,11815 EDUCATION STREET,CA,GENERAL ACUTE CARE,OPEN,PLACER,64,Placer
ADVENTIST HEALTH FRANK R HOWARD MEMORIAL HOSPITAL,1 MARCELA DRIVE,CA,GENERAL ACUTE CARE,OPEN,MENDOCINO,25,Mendocino
MERCY MEDICAL CENTER - MERCED,333 MERCY AVENUE,CA,GENERAL ACUTE CARE,OPEN,MERCED,186,Merced
COMMUNITY SUBACUTE AND TRANSITIONAL CARE CENTER,3003 NORTH MARIPOSA STREET,CA,GENERAL ACUTE CARE,OPEN,FRESNO,106,Fresno
KAISER FND HOSP - FRESNO,7300 NORTH FRESNO STREET,CA,GENERAL ACUTE CARE,OPEN,FRESNO,169,Fresno
ADVENTIST MEDICAL CENTER-SELMA,1141 ROSE AVENUE,CA,GENERAL ACUTE CARE,OPEN,FRESNO,57,Fresno
BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,CA,GENERAL ACUTE CARE,OPEN,EL DORADO,111,El Dorado
DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,CA,GENERAL ACUTE CARE,OPEN,KERN,100,Kern
