FID,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B01001_001E,B01001_001M,B01001_calc_PopDensity,created_user,created_date,last_edited_user,last_edited_date,B01001_calc_PopDensityM,SHAPE_Length,SHAPE_Area
514,00350028,13257,463996898,13074870,Stephens County,Georgia,2.63,0.11,2.74,0.15,2.39,0.21,25676,,55.3365768406495,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.00160220198732,0.0468569319396031
515,00347360,13259,1188153055,12598484,Stewart County,Georgia,2.2,0.14,2.36,0.18,1.81,0.35,6042,,5.08520343786853,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.66502222422858,0.114693488881213
516,00343504,13261,1250630094,25227638,Sumter County,Georgia,2.4,0.07,2.42,0.11,2.38,0.14,30352,,24.2693664142709,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.81899422904559,0.121817157990948
517,00326757,13263,1013662793,8766848,Talbot County,Georgia,2.3,0.1,2.22,0.12,2.6,0.37,6378,,6.29203325212707,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.65936713002155,0.098321403139937
518,00347654,13265,504031037,1915743,Taliaferro County,Georgia,2.71,0.29,2.85,0.33,2.4,0.39,1665,152,3.3033680027129,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.301568730577994,1.41618747561658,0.0491276482261302
519,00347445,13267,1245318484,19498437,Tattnall County,Georgia,2.3,0.07,2.39,0.11,2.13,0.15,25353,,20.3586474670844,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.01084465302516,0.120770659420388
520,00344156,13269,975612271,7802362,Taylor County,Georgia,2.34,0.14,2.38,0.17,2.24,0.24,8193,,8.39780335235246,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.93212998967088,0.094420366281762
521,00356958,13271,1132621097,17356399,Telfair County,Georgia,2.6,0.18,2.67,0.2,2.5,0.25,16115,,14.2280591829732,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.98508857329644,0.109669060249221
522,00352238,13273,869559691,5087422,Terrell County,Georgia,2.63,0.13,2.33,0.17,3.02,0.24,8859,,10.187914747764,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.531872089506,0.0832763493177274
523,00343835,13275,1410531714,19706578,Thomas County,Georgia,2.53,0.06,2.47,0.09,2.64,0.14,44730,,31.7114458016362,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.61806437525333,0.134886293894867
524,00344090,13277,675731947,20428670,Tift County,Georgia,2.56,0.05,2.5,0.08,2.64,0.11,40510,,59.9498072865275,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.15925141621185,0.0660596616656129
525,00345220,13279,942776960,18088022,Toombs County,Georgia,2.56,0.07,2.64,0.15,2.45,0.17,27048,,28.6897125699805,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.53250369932846,0.0918226671028002
526,00351252,13281,431139160,13793109,Towns County,Georgia,2.22,0.11,2.17,0.13,2.41,0.28,11417,,26.4810090551737,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.20525077153244,0.0438890521313913
527,00347505,13283,516529388,7805619,Treutlen County,Georgia,2.39,0.17,2.42,0.22,2.32,0.32,6777,,13.1202602551629,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.18530200408402,0.0502597189508395
528,01673298,13285,1072274464,82761542,Troup County,Georgia,2.74,0.05,2.8,0.09,2.67,0.11,69774,,65.0710264419763,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.42401876604488,0.111484646341879
529,00343238,13287,739222164,11823691,Turner County,Georgia,2.51,0.18,2.45,0.26,2.63,0.3,7962,,10.7707809475258,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.30140209369323,0.0714622438757197
530,00345456,13289,930477275,8741054,Twiggs County,Georgia,2.71,0.16,2.66,0.19,2.91,0.46,8284,,8.90295789330266,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.68104900887248,0.0902874075276102
531,00353193,13291,834197336,18082752,Union County,Georgia,2.45,0.12,2.41,0.12,2.59,0.38,22775,,27.3016935167964,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.66435988338517,0.0839877276666521
532,00346759,13293,837774875,10585407,Upson County,Georgia,2.52,0.09,2.45,0.1,2.64,0.18,26216,,31.2924161159643,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.45873947084189,0.0817458022575935
533,00354216,13295,1156145261,1672676,Walker County,Georgia,2.62,0.06,2.66,0.08,2.52,0.14,68824,,59.5288518853342,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.68623232050755,0.113963408511662
534,00351264,13297,846381028,8314727,Walton County,Georgia,2.87,0.04,2.83,0.05,2.97,0.11,90132,,106.491044834715,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.34915806771624,0.0831956789021199
535,00357722,13299,2328846491,22829439,Ware County,Georgia,2.38,0.06,2.34,0.1,2.47,0.17,35599,,15.2861084393389,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.34839826668769,0.222221840205511
536,00347777,13301,736483607,6034478,Warren County,Georgia,2.26,0.11,2.07,0.14,2.65,0.27,5346,,7.25881737107015,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.68397525834335,0.0719706177323687
537,00348428,13303,1757341882,15131101,Washington County,Georgia,2.53,0.08,2.44,0.1,2.71,0.2,20461,,11.6431527692914,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.17571621671832,0.170958357179576
538,00350608,13305,1662610320,17766411,Wayne County,Georgia,2.67,0.08,2.62,0.12,2.77,0.18,29767,,17.9037743492414,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.16082715551424,0.159610826399425
539,00352287,13307,542230980,2348162,Webster County,Georgia,2.37,0.2,2.49,0.22,1.89,0.45,2613,,4.8189795426296,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.16467350742618,0.0519994046638216
540,00351278,13309,765314383,12377032,Wheeler County,Georgia,3.42,0.24,3.6,0.36,3.13,0.47,7939,,10.373514697162,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.65785895856724,0.0743143857971457
541,00326781,13311,623522395,3919460,White County,Georgia,2.46,0.1,2.43,0.12,2.57,0.21,28928,,46.3944843552893,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.22352301637019,0.0616933735689238
542,00353513,13313,752229662,1598019,Whitfield County,Georgia,2.84,0.05,2.8,0.07,2.92,0.11,103849,,138.054912277575,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.80042988275777,0.0742606272295609
543,00345499,13315,978525380,11147628,Wilcox County,Georgia,2.59,0.13,2.53,0.13,2.77,0.36,8846,,9.04013343016203,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.66005815694497,0.0944248652925959
544,00351265,13317,1216001409,11896927,Wilkes County,Georgia,2.52,0.1,2.42,0.13,2.71,0.26,9884,,8.12828005530707,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.89724992503218,0.119523646237534
545,00346824,13319,1163459874,7084800,Wilkinson County,Georgia,2.77,0.11,2.78,0.13,2.74,0.26,9078,,7.80258967487176,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.67842546998895,0.112692496979993
546,00343365,13321,1478137688,10471700,Worth County,Georgia,2.55,0.07,2.5,0.11,2.66,0.15,20656,,13.9743409343339,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.98439150769841,0.141396005635053
547,00365280,15001,10433637868,2739470031,Hawaii County,Hawaii,2.84,0.04,2.77,0.06,2.98,0.08,197658,,18.9443032718452,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.38107139912716,0.898699636121452
548,00365281,15003,1555453537,4055036094,Honolulu County,Hawaii,3.05,0.02,3.24,0.03,2.81,0.03,987638,,634.951785126835,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.86549844913997,0.140363344513637
549,01702380,15005,31057603,105764468,Kalawao County,Hawaii,1.34,0.18,,,1.36,0.18,75,16,2.41486762516734,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.515171760035699,0.429832161567141,0.00293462306202764
550,00365282,15007,1605492325,1674244229,Kauai County,Hawaii,3.13,0.08,3.18,0.09,3.06,0.15,71377,,44.4580138369705,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.16012442019371,0.142668788260814
551,00365283,15009,3008348862,3203294204,Maui County,Hawaii,2.99,0.04,3.16,0.07,2.75,0.08,165281,16,54.9407690337212,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.00531853210314276,4.81188933710565,0.260627287659067
552,00395066,16001,2724688230,22176177,Ada County,Idaho,2.59,0.02,2.69,0.03,2.38,0.05,446052,,163.707537284,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.36567543537774,0.305454205970177
553,00395067,16003,3529648933,17359846,Adams County,Idaho,2.36,0.14,2.24,0.17,2.86,0.46,4019,,1.13864015268626,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.39214825700956,0.40403489441041
554,00395091,16005,2881323493,92089031,Bannock County,Idaho,2.69,0.03,2.81,0.05,2.44,0.11,85065,,29.5228912014428,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.96023365362487,0.326513300075798
555,00395090,16007,2527123157,191364280,Bear Lake County,Idaho,2.52,0.16,2.56,0.16,2.38,0.31,5962,,2.35920437177174,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.75912582954317,0.29672069540641
556,00395190,16009,2012242920,18803193,Benewah County,Idaho,2.69,0.15,2.72,0.17,2.6,0.23,9086,,4.51535940799831,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.24761671262944,0.241184385292621
557,00400593,16011,5422887259,68487093,Bingham County,Idaho,3.07,0.08,3.13,0.09,2.88,0.24,45551,,8.39976894677316,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.37765270020519,0.608325045490126
558,00395696,16013,6831709953,44656294,Blaine County,Idaho,2.64,0.14,2.48,0.18,3,0.35,21994,,3.21939897204532,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,7.2509387871693,0.764178023262448
559,00395157,16015,4919826454,19104286,Boise County,Idaho,2.28,0.11,2.24,0.11,2.47,0.29,7163,,1.45594566535497,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.65983577872126,0.554098229426367
560,00395158,16017,4488997480,478943304,Bonner County,Idaho,2.4,0.07,2.38,0.08,2.47,0.16,42711,,9.51459656421995,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.04456773594769,0.602191914214054
561,00395407,16019,4832871623,88856338,Bonneville County,Idaho,2.84,0.04,2.95,0.05,2.6,0.09,112397,,23.2567733570853,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.15612626538357,0.546736609105636
562,00395159,16021,3285871995,24278857,Boundary County,Idaho,2.48,0.12,2.56,0.16,2.26,0.33,11549,,3.51474434109841,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.9665765388344,0.404887711286938
563,00401703,16023,5792473995,5259978,Butte County,Idaho,2.43,0.18,2.42,0.21,2.52,0.38,2602,,0.449203570399456,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.42577420480444,0.647593522543974
564,00399408,16025,2782253888,11548054,Camas County,Idaho,2.48,0.34,2.22,0.34,3.26,0.93,886,105,0.318446854840014,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.0377391870860061,2.96762078112109,0.310735536088653
565,00399406,16027,1520436972,43132337,Canyon County,Idaho,2.95,0.03,2.97,0.05,2.91,0.09,212230,,139.584871920623,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.1636303131348,0.174365397951278
566,00395406,16029,4569240751,89216879,Caribou County,Idaho,2.61,0.13,2.63,0.13,2.53,0.33,6918,,1.51403709653206,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.01325014518296,0.512377553402481
567,00395698,16031,6644895771,39160677,Cassia County,Idaho,2.94,0.06,2.91,0.09,3.01,0.19,23615,,3.55385559289911,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.88283731630001,0.729549511713435
568,00399755,16033,4566524478,2476454,Clark County,Idaho,3.46,0.59,2.89,0.52,4.41,1.28,1077,105,0.235846759431298,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0.0229934166576474,4.25439285695624,0.515125111779541
569,00395697,16035,6364412194,79593140,Clearwater County,Idaho,2.06,0.06,2.05,0.07,2.11,0.18,8640,,1.35754877852589,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.0843021948635,0.757581578124409
570,00399758,16037,12748378759,42527192,Custer County,Idaho,2.28,0.19,2.21,0.18,2.5,0.56,4141,,0.324825617302637,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.22967523025334,1.44106757194522
571,00400252,16039,7964417369,68330393,Elmore County,Idaho,2.5,0.07,2.52,0.1,2.48,0.14,26433,,3.31888684072303,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.68424486300357,0.891846577497087
572,00395585,16041,1717211129,12153472,Franklin County,Idaho,3.08,0.1,3.15,0.14,2.79,0.42,13279,,7.73288722379344,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.43309827701274,0.188453075262718
573,00395408,16043,4827633119,83440653,Fremont County,Idaho,2.87,0.11,2.78,0.13,3.29,0.36,12965,,2.68558104570415,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,4.2204205559593,0.553181486305547
574,00395442,16045,1449796570,12491545,Gem County,Idaho,2.57,0.08,2.73,0.12,2.13,0.25,17052,,11.7616501189543,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.55243957669986,0.164251961608309
575,00395441,16047,1888932879,12472392,Gooding County,Idaho,2.78,0.1,2.71,0.14,2.93,0.27,15169,,8.03046003838446,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.11070703875184,0.209803590329737
576,00395699,16049,21956594313,67559274,Idaho County,Idaho,2.42,0.09,2.36,0.11,2.63,0.27,16337,,0.744058926767492,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,9.84546829840963,2.5509073900349
577,00399751,16051,2832617275,31168374,Jefferson County,Idaho,3.23,0.07,3.28,0.09,3.04,0.29,27969,,9.87390716241396,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.01142811569176,0.320389115637621
578,00395662,16053,1547443958,13094559,Jerome County,Idaho,2.97,0.06,2.94,0.13,3.04,0.2,23431,,15.1417438278563,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.97755107687338,0.171421332568422
579,00395661,16055,3205833878,184447536,Kootenai County,Idaho,2.51,0.03,2.5,0.04,2.52,0.08,153605,,47.9142107312898,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.70646572138286,0.40606135383568
580,00395613,16057,2786483031,2369979,Latah County,Idaho,2.32,0.05,2.55,0.08,2.05,0.11,39239,,14.0819088304005,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.57830276359131,0.328724441154845
581,00399754,16059,11819910408,14109812,Lemhi County,Idaho,2.14,0.11,2.1,0.13,2.26,0.31,7798,,0.659734273004483,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,8.73329172237459,1.34925505798531
582,00395622,16061,1240141958,2340247,Lewis County,Idaho,2.33,0.06,2.4,0.09,2.14,0.15,3845,,3.1004515049236,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.51874770754898,0.144918606548121
583,00395624,16063,3111517520,11588561,Lincoln County,Idaho,3.13,0.14,2.98,0.17,3.45,0.39,5321,,1.71009803602199,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.62985028948275,0.344780751639687
584,00394803,16065,1215396305,10500897,Madison County,Idaho,3.6,0.12,3.95,0.18,3.29,0.18,38705,,31.8455797839537,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.86440868886521,0.137066938137897
585,00394807,16067,1960610464,13928463,Minidoka County,Idaho,2.82,0.08,2.7,0.12,3.13,0.28,20615,,10.514582258192,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.33361699763717,0.217467273424535
586,00399394,16069,2197139820,21252916,Nez Perce County,Idaho,2.4,0.04,2.51,0.05,2.13,0.13,40155,,18.2760330655698,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.0381006203694,0.259165521454983
587,00399759,16071,3105269252,3995237,Oneida County,Idaho,2.71,0.19,2.78,0.22,2.42,0.5,4326,,1.39311591006602,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.96772752894955,0.338897795817088
588,00399760,16073,19860561630,74125617,Owyhee County,Idaho,2.66,0.08,2.67,0.12,2.65,0.24,11455,,0.576771201812182,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,7.24860547584999,2.18606496418276
589,00394896,16075,1053846147,8875236,Payette County,Idaho,2.61,0.05,2.67,0.1,2.46,0.22,23041,,21.8637227697716,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.87456276596351,0.119261193986185
590,00394951,16077,3635892392,99205466,Power County,Idaho,2.96,0.18,2.95,0.24,2.98,0.47,7713,,2.12134991040186,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.78080324858893,0.410317809211426
591,01702379,16079,6830898577,13962454,Shoshone County,Idaho,2.21,0.07,2.19,0.08,2.24,0.14,12526,,1.83372653814181,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.155114787247,0.814887230129023
592,00399297,16081,1163139950,2868473,Teton County,Idaho,2.97,0.22,3.02,0.23,2.82,0.49,11080,,9.52593881759456,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.70015401215273,0.130317835038997
593,00399334,16083,4977213734,18063165,Twin Falls County,Idaho,2.69,0.04,2.75,0.06,2.54,0.11,83666,,16.8098065446671,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.89913211762238,0.545839126989076
594,00399756,16085,9492607314,177116417,Valley County,Idaho,2.95,0.3,3.02,0.36,2.71,0.86,10401,,1.09569475023583,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,5.86011559706156,1.09915475360271
595,00399757,16087,3762870362,53228009,Washington County,Idaho,2.46,0.09,2.48,0.14,2.42,0.23,10025,,2.66418957752018,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,3.15629288061269,0.431463604724102
596,00424202,17001,2214804824,41767689,Adams County,Illinois,2.38,0.03,2.52,0.05,2.01,0.08,66427,,29.992259037991,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.00830003058926,0.237952252931629
597,00424203,17003,609996948,44237171,Alexander County,Illinois,2.76,0.16,2.74,0.18,2.79,0.34,6532,,10.708250297672,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.82021233573557,0.0663943438291055
598,00424204,17005,985073312,6462629,Bond County,Illinois,2.41,0.08,2.44,0.1,2.29,0.23,16712,,16.9652347662018,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.3495828298611,0.102942161551741
599,00424205,17007,727171389,3361806,Boone County,Illinois,2.84,0.05,2.86,0.07,2.77,0.2,53606,,73.7185219480631,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.15138493953947,0.0797846768206901
600,00424206,17009,791704469,4139310,Brown County,Illinois,2.3,0.09,2.43,0.12,1.9,0.22,6675,,8.43117635603494,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.40246783400626,0.0838888532764992
601,00424207,17011,2250916543,11606402,Bureau County,Illinois,2.39,0.04,2.44,0.05,2.23,0.1,33381,,14.8299589799585,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.24931004020918,0.24362603853549
602,00424208,17013,657402921,77058387,Calhoun County,Illinois,2.62,0.16,2.64,0.18,2.55,0.43,4858,,7.38968423293635,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.81275554746836,0.0765530496341218
603,00424209,17015,1152657063,55892254,Carroll County,Illinois,2.21,0.07,2.26,0.08,2.05,0.17,14562,,12.6334193121584,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.76329893683154,0.131468358505243
604,00424210,17017,973191108,20570537,Cass County,Illinois,2.49,0.07,2.5,0.08,2.46,0.18,12665,,13.0138879156302,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.87579906159821,0.104768853237908
605,00424211,17019,2579909092,6099477,Champaign County,Illinois,2.35,0.02,2.51,0.04,2.16,0.05,209448,,81.1842559295884,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.10847604778167,0.27329128273698
606,00424212,17021,1837575850,16221210,Christian County,Illinois,2.26,0.04,2.31,0.06,2.12,0.11,33231,,18.0841514650946,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.02433709904383,0.194248754282029
607,00424213,17023,1298695036,8796711,Clark County,Illinois,2.31,0.06,2.32,0.08,2.26,0.15,15836,,12.1937788018156,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.73179145348768,0.136594215075999
608,00424214,17025,1212815749,3271820,Clay County,Illinois,2.3,0.09,2.38,0.12,2.05,0.25,13338,,10.9975484825272,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.71334907290151,0.126024184480731
609,00424215,17027,1227664369,75635324,Clinton County,Illinois,2.49,0.05,2.52,0.06,2.4,0.14,37628,,30.6500709397065,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.15395830943579,0.134788077543647
610,00424216,17029,1316459189,4631826,Coles County,Illinois,2.26,0.04,2.31,0.06,2.18,0.1,51736,,39.299357270087,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.63740653343624,0.138379264013297
611,01784766,17031,2447370818,1786313044,Cook County,Illinois,2.61,0.01,2.77,0.01,2.41,0.03,5223719,,2134.42072675723,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.91147384655149,0.268608100818092
612,00424218,17033,1148953805,5718140,Crawford County,Illinois,2.21,0.06,2.26,0.06,2.03,0.14,19088,,16.6133746343266,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.71677157510666,0.120072012569869
613,00424219,17035,895929073,2529531,Cumberland County,Illinois,2.48,0.07,2.51,0.09,2.37,0.23,10865,,12.1270760458959,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.33240892220034,0.0937828477824139
614,00422190,17037,1635174009,8532272,DeKalb County,Illinois,2.64,0.03,2.74,0.05,2.5,0.07,104200,,63.7241048515223,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.75364725004415,0.17832215991297
615,00426598,17039,1029654716,19515948,De Witt County,Illinois,2.37,0.07,2.39,0.08,2.28,0.21,16042,,15.5799801144212,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.53159553500993,0.110932346555036
616,00424222,17041,1079156581,1448702,Douglas County,Illinois,2.56,0.05,2.73,0.07,2.13,0.15,19714,,18.2679699564377,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.52665689928206,0.113591362527667
617,00422191,17043,848808625,22435476,DuPage County,Illinois,2.69,0.02,2.79,0.02,2.4,0.03,931743,,1097.70680051702,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.28485621496215,0.0944586131196901
618,00424224,17045,1614558743,1583699,Edgar County,Illinois,2.27,0.06,2.33,0.07,2.06,0.17,17539,,10.8630299616172,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.75111608391627,0.169665981263556
619,00424225,17047,576061989,781203,Edwards County,Illinois,2.32,0.07,2.34,0.08,2.27,0.22,6507,,11.2956593634926,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.33597021652806,0.0595029299492749
620,00424226,17049,1239970330,3183217,Effingham County,Illinois,2.49,0.05,2.61,0.06,2.06,0.12,34174,,27.5603368670926,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.49847171927819,0.129375798765745
621,00424227,17051,1855715976,22931323,Fayette County,Illinois,2.62,0.07,2.64,0.08,2.54,0.21,21724,,11.706532832048,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.08288857323083,0.195350179485215
622,00424228,17053,1257690125,1640596,Ford County,Illinois,2.25,0.05,2.28,0.1,2.17,0.17,13398,,10.6528625244633,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.24509887360682,0.13397855299111
623,00424229,17055,1059098605,58350789,Franklin County,Illinois,2.4,0.05,2.45,0.06,2.26,0.11,39127,,36.943680045731,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.62055066883366,0.114609148679174
624,00424230,17057,2242157116,43975590,Fulton County,Illinois,2.33,0.05,2.33,0.06,2.34,0.12,35418,,15.7963952424465,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,2.06061964053365,0.242774425534623
625,00424231,17059,836540182,13265237,Gallatin County,Illinois,2.23,0.1,2.29,0.12,2.02,0.21,5157,,6.16467697662848,esri_demographics,2020/04/01 20:53:36,esri_demographics,2020/04/01 20:53:36,0,1.41651310882309,0.0868921227417448
